Date,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa
2012-03-04,-5.6,-13.5,53,19,24.1,101.44
2012-03-05,-10,-18.6,52,22,24.1,101.51
2012-03-06,-5.3,-15.7,53,22,24.1,101.58
2012-03-07,9.7,-2.7,52,24,25,101.64
2012-03-08,11.7,6.6,50,24,25,101.74
2012-03-09,-1.1,-7.9,49,24,25,101.82
2012-03-10,-2.7,-10.2,52,15,25,101.86
2012-03-11,10.5,-1.3,52,20,25,101.86
2012-03-12,12.4,0.6,55,17,25,101.87
2012-03-13,5.3,3.3,56,13,25,101.88
2012-03-14,1.7,1.3,58,11,25,101.86
2012-03-15,4,0.6,61,15,25,101.89
2012-03-16,3.7,3.2,59,13,25,101.88
2012-03-17,10.2,4.4,59,13,25,101.82
2012-03-18,22.2,10.4,62,9,25,101.77
2012-03-19,16.3,10,61,11,25,101.74
2012-03-20,22.5,12.3,60,11,25,101.75
2012-03-21,25.4,12,57,17,24.1,101.73
2012-03-22,21.4,12.8,61,9,24.1,101.68
2012-03-23,16.4,-6.8,63,7,24.1,101.54
2012-03-24,5.8,-9.8,56,13,24.1,101.41
2012-03-25,7.6,4.6,51,11,24.1,101.25
2012-03-26,1.4,-14.8,53,11,24.1,101.07
2012-03-27,2.1,-16.5,53,7,19.3,100.97
2012-03-28,2.5,0.6,61,11,9.7,100.89
2012-03-29,4.1,-3.5,61,13,19.3,100.79
2012-03-30,4.8,-8.9,71,9,4.8,100.76
2012-03-31,7.7,-8.6,75,11,9.7,100.69
2012-04-01,3.8,1.5,71,9,16.1,100.65
2012-04-02,7.9,-10,71,9,16.1,100.61
2012-04-03,10.9,-9,73,7,11.3,100.54
2012-04-04,8,-3.2,77,6,9.7,100.5
2012-04-05,7.6,-5.9,79,6,9.7,100.42
2012-04-06,9.3,-8.3,79,4,9.7,100.32
2012-04-07,8,-6.7,81,0,9.7,100.29
2012-04-08,12.3,-3.8,80,9,8,100.28
2012-04-09,8.6,0.7,81,11,9.7,100.24
2012-04-10,6.2,3.2,83,9,4.8,100.21
2012-04-11,7.5,3.1,82,4,4,100.19
2012-04-12,11.3,-1.4,82,6,6.4,100.26
2012-04-13,15.9,-4.9,82,9,9.7,100.31
2012-04-14,15.6,-3,79,11,9.7,100.39
2012-04-15,18.1,10.6,76,9,24.1,100.42
2012-04-16,27.4,11.5,73,17,48.3,100.45
2012-04-17,12.7,-0.5,70,22,48.3,100.41
2012-04-18,10.4,-3.2,69,20,48.3,100.38
2012-04-19,20.2,3.9,66,26,48.3,100.4
2012-04-20,9.5,3,65,22,48.3,100.46
2012-04-21,5.7,3.3,55,26,48.3,100.52
2012-04-22,6,-0.6,55,19,24.1,100.6
2012-04-23,5.7,2.4,56,11,25,100.65
2012-04-24,8.4,1.9,56,11,25,100.71
2012-04-25,7.7,0.5,61,7,25,100.8
2012-04-26,11.2,-0.6,62,9,25,100.83
2012-04-27,2.5,-5.1,63,13,25,100.83
2012-04-28,7.2,-10.5,63,7,25,100.85
2012-04-29,9,-12,61,9,25,100.83
2012-04-30,12.5,-4.2,56,13,25,100.81
2012-05-01,10.4,7.9,55,17,25,100.81
2012-05-02,14,9.1,61,9,25,100.84
2012-05-03,16.2,11,64,0,9.7,100.76
2012-05-04,16.9,13,68,15,3.2,100.7
2012-05-05,15.4,-1,71,19,2.8,100.61
2012-05-06,16.6,-3,71,22,4.8,100.58
2012-05-07,20.6,-2.3,85,22,2.4,100.52
2012-05-08,12,10,73,24,11.3,100.51
2012-05-09,19,11.4,71,26,19.3,100.53
2012-05-10,10.5,5.3,72,28,16.1,100.47
2012-05-11,17.1,-1.8,72,17,24.1,100.36
2012-05-12,23.9,6.9,74,28,19.3,100.23
2012-05-13,20,5.8,74,20,24.1,100.13
2012-05-14,23.2,9.2,75,19,19.3,100.07
2012-05-15,17.8,15.2,79,19,12.9,100.06
2012-05-16,19.3,10.4,78,19,19.3,100.1
2012-05-17,15.8,0.4,78,17,25,100.15
2012-05-18,20.8,1.7,78,17,19.3,100.12
2012-05-19,25.6,7.8,79,15,25,100.13
2012-05-20,30.9,10.7,80,11,25,100.15
2012-05-21,28.9,9,79,9,25,100.13
2012-05-22,21.5,16.2,79,11,19.3,100.16
2012-05-23,21.6,13.5,79,7,16.1,100.15
2012-05-24,28.1,17.7,79,6,16.1,100.13
2012-05-25,27.1,17.1,80,0,19.3,100.11
2012-05-26,23.2,10.2,79,4,19.3,100.15
2012-05-27,20.3,5.1,79,4,19.3,100.12
2012-05-28,17.5,6.6,79,6,19.3,100.1
2012-05-29,26.8,19,80,4,19.3,100.12
2012-05-30,23.5,8.6,80,7,16.1,100.12
2012-05-31,18.1,5.8,81,7,16.1,100.16
2012-06-01,19.8,4.9,82,9,8,100.1
2012-06-02,13.9,10.9,82,7,9.7,100.15
2012-06-03,18.5,10.4,84,7,8,100.13
2012-06-04,15.8,7.2,84,9,9.7,100.08
2012-06-05,21.9,4.4,84,13,9.7,100.05
2012-06-06,20.3,9.3,83,15,9.7,100.07
2012-06-07,22.3,9.3,83,6,8,100.09
2012-06-08,19.4,12.8,83,11,8,100.09
2012-06-09,23.8,5.6,84,0,8,100.15
2012-06-10,26.5,9.2,84,13,8,100.27
2012-06-11,30.1,18.4,85,6,9.7,100.33
2012-06-12,19.1,17.3,86,6,8,100.41
2012-06-13,21.9,10.7,87,4,9.7,100.48
2012-06-14,22.9,6.7,88,0,6.4,100.5
2012-06-15,24.9,5.7,89,4,4,100.54
2012-06-16,26,13.6,87,22,9.7,100.62
2012-06-17,27,16.8,76,32,25,100.72
2012-06-18,25.8,13.4,74,32,25,100.8
2012-06-19,28.1,19.2,71,30,25,100.98
2012-06-20,32.2,19.6,69,32,25,101.13
2012-06-21,33,19,69,22,25,101.21
2012-06-22,29,13.8,70,13,25,101.33
2012-06-23,26.4,5.7,68,13,25,101.47
2012-06-24,26.7,8.9,69,11,25,101.59
2012-06-25,18.8,10.8,69,11,24.1,101.7
2012-06-26,16.6,11.4,65,17,24.1,101.81
2012-06-27,19.6,15.1,67,17,9.7,101.89
2012-06-28,27,14.8,65,22,24.1,101.92
2012-06-29,30.7,14.6,66,15,24.1,101.9
2012-06-30,28.8,13.2,63,15,24.1,101.94
2012-07-01,24.7,14,65,19,24.1,101.97
2012-07-02,28.3,12.3,61,20,48.3,102.04
2012-07-03,26.9,12.3,59,20,24.1,102.09
2012-07-04,28.4,19.9,59,17,25,102.17
2012-07-05,24.3,16.7,62,17,25,102.23
2012-07-06,29.6,19.7,62,15,25,102.26
2012-07-07,28.9,16.4,65,15,25,102.28
2012-07-08,24.3,8.5,64,11,25,102.26
2012-07-09,24.4,5.3,65,7,25,102.22
2012-07-10,26.5,11.2,68,7,25,102.22
2012-07-11,27.8,8.9,66,6,25,102.17
2012-07-12,30.6,12.9,68,0,25,102.13
2012-07-13,31.9,12.3,66,4,25,102.15
2012-07-14,33,16.8,70,0,25,102.11
2012-07-15,22.7,20.9,69,9,25,102.02
2012-07-16,28.6,20,71,11,25,101.93
2012-07-17,25.8,22,72,11,25,101.86
2012-07-18,24,10.1,72,15,25,101.8
2012-07-19,22.9,9,70,13,16.1,101.74
2012-07-20,24.2,9.9,75,11,12.9,101.68
2012-07-21,26.3,12.3,76,9,16.1,101.64
2012-07-22,30.1,19.2,77,7,24.1,101.54
2012-07-23,30.1,19.4,73,9,24.1,101.4
2012-07-24,23,10.4,74,7,24.1,101.27
2012-07-25,24.8,13.6,76,7,24.1,101.2
2012-07-26,21.3,16.7,74,9,24.1,101.13
2012-07-27,26.1,17,72,11,24.1,101.05
2012-07-28,26.7,11.2,72,15,24.1,100.96
2012-07-29,27.8,17.7,71,20,25,100.9
2012-07-30,29,13.5,70,19,25,100.83
2012-07-31,28.8,18.4,70,15,25,100.77
2012-08-01,27.3,18.6,71,11,25,100.64
2012-08-02,29.8,18.9,64,19,25,100.54
2012-08-03,29.2,16.7,64,17,25,100.45
2012-08-04,32.8,18.8,57,30,25,100.38
2012-08-05,29,24.4,66,35,25,100.28
2012-08-06,22.6,13.8,75,19,6.4,100.23
2012-08-07,28.7,13.6,77,28,25,100.16
2012-08-08,28.3,14.7,81,26,25,100.07
2012-08-09,23.7,17,86,30,9.7,100.02
2012-08-10,21,19.5,87,30,8,100.04
2012-08-11,27.5,19.9,85,20,8,100.08
2012-08-12,26.2,16.9,85,24,16.1,100.11
2012-08-13,25.4,17.4,84,17,19.3,100.23
2012-08-14,25.7,18.4,81,24,24.1,100.27
2012-08-15,25.7,17.8,77,22,24.1,100.29
2012-08-16,26.9,15.6,72,30,24.1,100.32
2012-08-17,24.9,15.8,64,26,24.1,100.36
2012-08-18,22,9.3,64,26,24.1,100.45
2012-08-19,23.5,11.3,61,30,24.1,100.65
2012-08-20,24.6,10.5,55,30,24.1,100.81
2012-08-21,23.4,11.4,54,17,24.1,100.91
2012-08-22,25.7,10.9,54,15,25,101.04
2012-08-23,25.8,16.2,53,15,25,101.15
2012-08-24,27.7,12.5,53,13,25,101.24
2012-08-25,31.1,15.2,57,9,25,101.32
2012-08-26,30.1,15.7,55,13,25,101.34
2012-08-27,26,18.2,57,19,25,101.44
2012-08-28,23.2,8.8,55,17,25,101.43
2012-08-29,24.2,8,56,17,25,101.49
2012-08-30,28.5,17,56,19,25,101.57
2012-08-31,25.6,18.6,57,19,25,101.64
2012-09-01,24.3,7.3,57,17,25,101.66
2012-09-02,25.6,6.5,55,19,25,101.66
2012-09-03,27.8,10.5,57,20,25,101.72
2012-09-04,24.1,17.8,57,13,25,101.77
2012-09-05,26.2,17.6,57,15,24.1,101.8
2012-09-06,28.2,18.4,58,15,24.1,101.81
2012-09-07,25.1,10.5,55,11,19.3,101.89
2012-09-08,24.4,20.2,54,15,24.1,101.78
2012-09-09,17.6,8.9,53,17,24.1,101.68
2012-09-10,17.8,5.9,52,19,24.1,101.63
2012-09-11,21.3,8.4,52,20,24.1,101.56
2012-09-12,27.3,13.4,50,20,24.1,101.61
2012-09-13,28.2,13.9,47,20,24.1,101.6
2012-09-14,26.3,16.4,51,26,24.1,101.56
2012-09-15,14.2,11.4,52,24,25,101.51
2012-09-16,16.7,3.6,54,30,25,101.43
2012-09-17,25.2,10.8,57,24,25,101.4
2012-09-18,18.1,17,65,19,25,101.32
2012-09-19,14.3,0.9,65,22,25,101.29
2012-09-20,19.1,7.5,67,20,25,101.19
2012-09-21,19.3,13.9,66,19,25,101.17
2012-09-22,16.1,15,65,24,25,101.13
2012-09-23,15.1,4.6,64,26,25,101.08
2012-09-24,16.3,3.6,63,33,25,101.02
2012-09-25,19,10.2,64,22,25,100.93
2012-09-26,17.6,15.6,64,30,25,100.81
2012-09-27,15.1,4.7,65,28,25,100.76
2012-09-28,15.6,9.6,65,28,16.1,100.69
2012-09-29,11.6,10.1,72,33,6.4,100.61
2012-09-30,11.6,10.9,75,33,3.2,100.54
2012-10-01,15.2,11.5,77,35,4.8,100.46
2012-10-02,18.8,11.5,76,32,2,100.35
2012-10-03,19.3,13.9,79,32,4.8,100.22
2012-10-04,15.9,14.7,81,33,1.2,100.09
2012-10-05,20.7,15.4,81,28,1.2,99.97
2012-10-06,14.4,8.8,83,26,0.8,99.9
2012-10-07,10.5,0.3,83,33,0.6,99.88
2012-10-08,11.9,0.3,83,33,1,99.83
2012-10-09,15,4.6,81,35,1.2,99.76
2012-10-10,13.2,11.2,82,30,4,99.72
2012-10-11,9.8,-2.9,81,28,6.4,99.64
2012-10-12,6.4,-5.4,80,24,6.4,99.56
2012-10-13,9.4,-2.1,81,26,25,99.47
2012-10-14,7,6.6,83,28,3.2,99.4
2012-10-15,16.2,9,83,28,2.4,99.3
2012-10-16,8.4,0.7,81,24,4.8,99.24
2012-10-17,12.5,2.9,81,22,25,99.22
2012-10-18,18.6,3.6,83,19,4.8,99.19
2012-10-19,13.3,12.1,83,24,11.3,99.13
2012-10-20,16.4,8.8,82,20,12.9,99.06
2012-10-21,12.2,5.7,83,22,16.1,98.94
2012-10-22,14.6,5,82,22,16.1,98.84
2012-10-23,12.3,4.3,83,26,8,98.69
2012-10-24,12.2,-2.1,84,32,4.8,98.56
2012-10-25,13.5,3.5,83,26,12.9,98.44
2012-10-26,20.4,13.1,83,28,9.7,98.22
2012-10-27,14.6,9.5,81,24,2,98.07
2012-10-28,13.1,6,83,20,1.2,97.99
2012-10-29,16.6,9.6,85,6,2,98.07
2012-10-30,20.9,11.8,85,13,8,98.1
2012-10-31,10.2,8.6,84,11,6.4,98.16
2012-11-01,7.7,6,87,15,1.6,98.23
2012-11-02,4.8,3.4,89,26,16.1,98.32
2012-11-03,5.4,2.7,86,33,2,98.6
2012-11-04,3.6,-3.9,87,32,2,98.89
2012-11-05,1.8,-7.6,79,37,4.8,99.09
2012-11-06,2.6,-7.7,70,32,12.9,99.28
2012-11-07,1.8,-7.8,75,35,9.7,99.51
2012-11-08,5.2,-3.3,72,39,9.7,99.67
2012-11-09,4.6,-2,69,24,12.9,99.85
2012-11-10,5.2,-6.9,70,28,9.7,100.01
2012-11-11,7,1.9,71,24,8,100.16
2012-11-12,17,8.4,63,20,16.1,100.26
2012-11-13,5.4,-2.9,63,24,25,100.39
2012-11-14,4.6,-7.4,63,24,25,100.6
2012-11-15,2.4,-5.8,63,26,25,100.73
2012-11-16,5.5,-1.9,62,20,24.1,100.84
2012-11-17,2.4,-7.4,61,19,24.1,100.97
2012-11-18,4.5,-11.9,60,22,24.1,101.08
2012-11-19,6.2,-1.2,59,20,24.1,101.14
2012-11-20,5.9,-1.5,58,20,48.3,101.16
2012-11-21,8.2,-2.1,55,17,48.3,101.18
2012-11-22,10.7,-1.2,56,17,48.3,101.2
2012-11-23,10.4,2.5,56,22,48.3,101.24
2012-11-24,0.7,-6.4,52,19,24.1,101.3
2012-11-25,-1.8,-10.9,54,13,25,101.36
2012-11-26,-0.9,-9.9,56,20,25,101.46
2012-11-27,0.4,-6.8,59,17,25,101.56
2012-11-28,0,-0.8,58,13,25,101.62
2012-11-29,-1.2,-4.6,59,11,25,101.65
2012-11-30,-8.8,-15.8,58,13,25,101.74
2012-12-01,-8.3,-13.5,59,9,25,101.79
2012-12-02,5.6,4.9,61,11,25,101.81
2012-12-03,4,1,61,9,25,101.86
2012-12-04,11,7.9,63,9,25,101.99
2012-12-05,0.1,-7.6,62,4,25,102.04
2012-12-06,-1.2,-7.9,61,0,25,102.12
2012-12-07,3.9,-3.3,63,6,25,102.19
2012-12-08,2,1,62,7,25,102.28
2012-12-09,-1.9,-4.9,62,9,25,102.37
2012-12-10,0,-0.5,62,7,24.1,102.45
2012-12-11,-5.7,-11.5,60,9,48.3,102.57
2012-12-12,-3.2,-6.7,58,9,48.3,102.66
2012-12-13,2.1,-1.9,55,9,48.3,102.68
2012-12-14,3,-1,52,13,48.3,102.67
2012-12-15,-7.8,-13.7,53,20,48.3,102.65
2012-12-16,-7.6,-9.4,53,26,48.3,102.66
2012-12-17,0.9,0.2,53,24,48.3,102.71
2012-12-18,1.1,0.2,52,24,48.3,102.79
2012-12-19,1.3,-0.1,55,15,25,102.85
2012-12-20,-0.5,-3.8,57,17,25,102.89
2012-12-21,1.8,0.2,58,20,25,102.94
2012-12-22,-5.4,-7.1,61,17,25,102.98
2012-12-23,-6.8,-11.1,63,15,25,103.02
2012-12-24,-7.5,-13.3,66,17,25,103.07
2012-12-25,-7.1,-13.7,68,15,25,103.09
2012-12-26,-10,-14.2,66,15,25,103.09
2012-12-27,-5,-6.2,65,6,25,103.05
2012-12-28,-6.8,-10.3,68,6,25,103.08
2012-12-29,-8.8,-10,67,6,25,103.07
2012-12-30,-11.3,-15.6,66,0,25,103.05
2012-12-31,-2.3,-4.6,69,0,25,103.02
